AutoCivil-Lab Research Log
[2026-03-11 13:00] Baseline | Model: RandomForestRegressor | RMSE: 2.90 | R2: 0.97 | Composite: 0.941 | Validation: WARN | Threshold established
[2026-03-11 13:21] Trial 076 | Model: LightGBM | n_estimators=500 learning_rate=0.1059 num_leaves=23 min_child_samples=7 subsample=0.8288 colsample_bytree=0.6018 | RMSE: 2.44 | R2: 0.98 | Composite: 0.953 | Validation: WARN | ❌ No improvement
[2026-03-11 13:21] Trial 077 | Model: RandomForest | n_estimators=300 max_depth=4 min_samples_split=6 min_samples_leaf=3 max_features=None | RMSE: 6.12 | R2: 0.87 | Composite: 0.848 | Validation: WARN | ❌ No improvement
[2026-03-11 13:21] Trial 078 | Model: Ridge | alpha=0.5559 fit_intercept=True solver=lsqr | RMSE: 6.61 | R2: 0.84 | Composite: 0.833 | Validation: FAIL | ❌ Rejected
[2026-03-11 13:22] Trial 079 | Model: LightGBM | n_estimators=400 learning_rate=0.08672 num_leaves=32 min_child_samples=9 subsample=0.7604 colsample_bytree=0.6549 | RMSE: 2.53 | R2: 0.98 | Composite: 0.951 | Validation: WARN | ❌ No improvement
[2026-03-11 13:22] Trial 080 | Model: LightGBM | n_estimators=300 learning_rate=0.01156 num_leaves=17 min_child_samples=6 subsample=0.7428 colsample_bytree=0.8349 | RMSE: 4.14 | R2: 0.94 | Composite: 0.906 | Validation: WARN | ❌ No improvement
[2026-03-11 13:22] Trial 081 | Model: XGBoost | n_estimators=250 learning_rate=0.0732 max_depth=8 min_child_weight=6.469 subsample=0.8146 colsample_bytree=0.9895 reg_alpha=0.09218 | RMSE: 2.64 | R2: 0.97 | Composite: 0.948 | Validation: WARN | ❌ No improvement
[2026-03-11 13:22] Trial 082 | Model: LightGBM | n_estimators=500 learning_rate=0.2378 num_leaves=20 min_child_samples=20 subsample=0.9887 colsample_bytree=0.9422 | RMSE: 2.46 | R2: 0.98 | Composite: 0.953 | Validation: WARN | ❌ No improvement
[2026-03-11 13:22] Trial 083 | Model: LightGBM | n_estimators=450 learning_rate=0.1694 num_leaves=25 min_child_samples=5 subsample=0.7745 colsample_bytree=0.9153 | RMSE: 2.46 | R2: 0.98 | Composite: 0.953 | Validation: WARN | ❌ No improvement
[2026-03-11 13:22] Trial 084 | Model: LightGBM | n_estimators=500 learning_rate=0.2469 num_leaves=22 min_child_samples=7 subsample=0.7908 colsample_bytree=0.8779 | RMSE: 2.49 | R2: 0.98 | Composite: 0.952 | Validation: WARN | ❌ No improvement
[2026-03-11 13:22] Trial 085 | Model: LightGBM | n_estimators=500 learning_rate=0.1512 num_leaves=19 min_child_samples=6 subsample=0.8109 colsample_bytree=0.6382 | RMSE: 2.42 | R2: 0.98 | Composite: 0.954 | Validation: WARN | ❌ No improvement
[2026-03-11 13:22] Trial 086 | Model: LightGBM | n_estimators=450 learning_rate=0.1413 num_leaves=45 min_child_samples=8 subsample=0.813 colsample_bytree=0.6358 | RMSE: 2.62 | R2: 0.97 | Composite: 0.949 | Validation: WARN | ❌ No improvement
[2026-03-11 13:22] Trial 087 | Model: LightGBM | n_estimators=500 learning_rate=0.1514 num_leaves=19 min_child_samples=5 subsample=0.8615 colsample_bytree=0.6749 | RMSE: 2.41 | R2: 0.98 | Composite: 0.954 | Validation: WARN | ❌ No improvement
[2026-03-11 13:22] Trial 088 | Model: LightGBM | n_estimators=450 learning_rate=0.1543 num_leaves=19 min_child_samples=5 subsample=0.851 colsample_bytree=0.6811 | RMSE: 2.40 | R2: 0.98 | Composite: 0.954 | Validation: WARN | ❌ No improvement
[2026-03-11 13:23] Trial 089 | Model: LightGBM | n_estimators=450 learning_rate=0.1829 num_leaves=17 min_child_samples=5 subsample=0.8935 colsample_bytree=0.7226 | RMSE: 2.52 | R2: 0.98 | Composite: 0.952 | Validation: WARN | ❌ No improvement
[2026-03-11 13:23] Trial 090 | Model: LightGBM | n_estimators=400 learning_rate=0.1541 num_leaves=15 min_child_samples=5 subsample=0.8667 colsample_bytree=0.6792 | RMSE: 2.44 | R2: 0.98 | Composite: 0.953 | Validation: WARN | ❌ No improvement
[2026-03-11 13:23] Trial 091 | Model: RandomForest | n_estimators=500 max_depth=None min_samples_split=10 min_samples_leaf=3 max_features=None | RMSE: 3.81 | R2: 0.95 | Composite: 0.917 | Validation: WARN | ❌ No improvement
[2026-03-11 13:23] Trial 092 | Model: LightGBM | n_estimators=450 learning_rate=0.1538 num_leaves=19 min_child_samples=6 subsample=0.8419 colsample_bytree=0.6613 | RMSE: 2.39 | R2: 0.98 | Composite: 0.954 | Validation: WARN | ❌ No improvement
[2026-03-11 13:23] Trial 093 | Model: LightGBM | n_estimators=450 learning_rate=0.1834 num_leaves=19 min_child_samples=6 subsample=0.8524 colsample_bytree=0.6638 | RMSE: 2.42 | R2: 0.98 | Composite: 0.954 | Validation: WARN | ❌ No improvement
[2026-03-11 13:24] Trial 094 | Model: LightGBM | n_estimators=450 learning_rate=0.2104 num_leaves=17 min_child_samples=5 subsample=0.8439 colsample_bytree=0.7062 | RMSE: 2.50 | R2: 0.98 | Composite: 0.952 | Validation: WARN | ❌ No improvement
[2026-03-11 13:24] Trial 095 | Model: LightGBM | n_estimators=400 learning_rate=0.1672 num_leaves=21 min_child_samples=6 subsample=0.8846 colsample_bytree=0.683 | RMSE: 2.44 | R2: 0.98 | Composite: 0.953 | Validation: WARN | ❌ No improvement
[2026-03-11 13:24] Trial 096 | Model: GradientBoosting | n_estimators=400 learning_rate=0.02791 max_depth=2 min_samples_split=5 min_samples_leaf=6 subsample=0.7243 | RMSE: 4.75 | R2: 0.92 | Composite: 0.890 | Validation: WARN | ❌ No improvement
[2026-03-11 13:24] Trial 097 | Model: SVR | C=0.108 epsilon=0.005628 kernel=poly gamma=auto | RMSE: 11.24 | R2: 0.55 | Composite: 0.660 | Validation: FAIL | ❌ Rejected
[2026-03-11 13:25] Trial 098 | Model: LightGBM | n_estimators=450 learning_rate=0.1391 num_leaves=15 min_child_samples=8 subsample=0.8278 colsample_bytree=0.6613 | RMSE: 2.45 | R2: 0.98 | Composite: 0.952 | Validation: WARN | ❌ No improvement
